Járat	Megálló	Szélesség	Hosszúság
45	67-es sz. út	46.351169	17.782722
40	67-es sz. út	46.35069	17.781893
12	Arany János tér	46.366564	17.788472
20	Arany János tér	46.366851	17.788362
44	Arany János tér	46.367595	17.790237
46	Aranyeső utca	46.337686	17.790371
42	Aranyeső utca	46.337414	17.790639
90	Ballakúti utca	46.342177	17.799177
51	Ballakúti utca	46.341425	17.800224
61	Baross Gábor utca	46.352844	17.803306
46	Bartók Béla utca	46.351486	17.790431
41	Bartók Béla utca	46.351464	17.790549
13	Berzsenyi Dániel utca 30.	46.360216	17.783917
32	Berzsenyi Dániel utca 30.	46.359012	17.783952
32	Kaposvár Pláza	46.355325	17.784656
31	Kaposvár Pláza	46.355442	17.784853
31	Beszédes József utca	46.341851	17.763235
33	Beszédes József utca	46.342035	17.763298
12	Brassó utca	46.372092	17.787416
43	Buzsáki utca	46.367947	17.792332
44	Buzsáki utca	46.367884	17.792376
61	Béla király utca	46.34833	17.815061
12	Búzavirág utca	46.375818	17.781883
20	Búzavirág utca	46.374772	17.781888
12	Corso Bevásárlóközpont	46.355236	17.78603
61	Csalogány utca	46.351159	17.808597
26	Dombóvári út 4.	46.363917	17.833678
31	Eger utca	46.348413	17.767931
13	Eger utca	46.348264	17.768146
31	Egyenesi út 42.	46.345196	17.763225
33	Egyenesi út 42.	46.345319	17.763351
31	Egyenesi út. forduló	46.338997	17.763486
45	Erdősor utca	46.345701	17.773949
46	Fenyves utca 31.	46.306013	17.783388
42	Fenyves utca 31.	46.306064	17.78343
46	Fenyves utca 37/A	46.307643	17.782963
42	Fenyves utca 37/A	46.307718	17.783006
74	Fő utca 37-39.	46.356767	17.795418
71	Fő utca 48.	46.356771	17.798155
13	Füredi utcai csomópont	46.363758	17.781454
32	Füredi utcai csomópont	46.363152	17.782524
20	Füredi utcai csomópont	46.364552	17.782422
21	Füredi utcai csomópont	46.363937	17.783325
23	Guba Sándor utca 57.	46.368619	17.817311
23	Guba Sándor utca 81.	46.373627	17.821302
46	Gyertyános	46.330307	17.78938
42	Gyertyános	46.330198	17.789529
27	Gyár utca	46.356703	17.815208
74	Gyár utca	46.356991	17.814507
40	Gönczi Ferenc utca	46.344756	17.774575
40	Hajnóczy utcai csomópont	46.366722	17.765329
20	Hajnóczy utcai csomópont	46.366734	17.765126
13	Hajnóczy utcai csomópont	46.366091	17.763716
32	Hajnóczy utcai csomópont	46.365565	17.76592
46	Harangvirág utca	46.334786	17.790031
42	Harangvirág utca	46.334835	17.790103
91	Hegyi utca	46.367663	17.797871
72	Hold utca	46.346367	17.834634
12	Honvéd utca	46.363155	17.787996
71	Hársfa utca	46.357181	17.80208
74	Hársfa utca	46.357193	17.800956
81	Hősök temploma	46.358684	17.80933
23	Izzó utca	46.367375	17.816269
40	Jutai út 24.	46.370216	17.768763
20	Jutai út 24.	46.369582	17.7691
40	Jutai út 45.	46.376924	17.763631
20	Jutai út 45.	46.376979	17.763452
90	Jókai liget	46.351282	17.791004
51	Jókai liget	46.352407	17.791416
41	Jókai Mór utca	46.345777	17.787096
27	Kométa. forduló	46.35794	17.822927
31	Kapoli Antal utca	46.34767	17.763283
33	Kapoli Antal utca	46.347348	17.763343
23	Kaposfüred. forduló	46.423027	17.775469
47	Kaposfüred. központ	46.413964	17.778273
23	Kaposfüred. központ	46.412993	17.778466
23	Kaposfüred. vasútállomás	46.414147	17.759444
47	Kaposfüredi utca 104.	46.408855	17.779574
23	Kaposfüredi utca 104.	46.407546	17.779425
47	Kaposfüredi utca 12.	46.402654	17.779395
23	Kaposfüredi utca 12.	46.402763	17.779265
23	Kaposfüredi utca 244.	46.419326	17.776414
47	Kaposfüredi utca 244.	46.419543	17.776469
71	Kaposszentjakab. forduló	46.359485	17.847302
81	MATE Kaposvári Campus	46.383793	17.825318
23	MATE Kaposvári Campus	46.384574	17.826038
32	Kecelhegyalja utca	46.363473	17.761063
13	Kecelhegyalja utca	46.363344	17.760872
13	Kecelhegyi iskola. forduló	46.353502	17.765597
20	Kenyérgyár utca 1.	46.363171	17.817059
46	Kertbarát alsó	46.320039	17.784779
42	Kertbarát alsó	46.32018	17.784827
46	Kertbarát felső	46.325037	17.787107
42	Kertbarát felső	46.325099	17.787296
20	Kinizsi lakótelep	46.371841	17.782577
